trys	classifer	names	names2	Rank	accuracy	precision	recall	F1	PR	F1_score
try_1	KNN	Log_17235	KNNLog_17235	M07_Log_17235	0.988648737	0.97320285	0.877299544	0.920329293	0.853659597	0.98086499
try_2	KNN	Log_17235	KNNLog_17235	M07_Log_17235	0.988648737	0.97320285	0.877299544	0.920329293	0.853659597	0.98086499
try_3	KNN	Log_17235	KNNLog_17235	M07_Log_17235	0.988648737	0.97320285	0.877299544	0.920329293	0.853659597	0.98086499
try_4	KNN	Log_17235	KNNLog_17235	M07_Log_17235	0.988648737	0.97320285	0.877299544	0.920329293	0.853659597	0.98086499
try_0	KNN	Log_17234	KNNLog_17234	M08_Log_17234	0.989119726	0.951352715	0.897102668	0.920741737	0.853516496	0.969868695
try_1	KNN	Log_17234	KNNLog_17234	M08_Log_17234	0.989119726	0.951352715	0.897102668	0.920741737	0.853516496	0.969868695
try_2	KNN	Log_17234	KNNLog_17234	M08_Log_17234	0.989119726	0.951352715	0.897102668	0.920741737	0.853516496	0.969868695
try_3	KNN	Log_17234	KNNLog_17234	M08_Log_17234	0.989119726	0.951352715	0.897102668	0.920741737	0.853516496	0.969868695
try_4	KNN	Log_17234	KNNLog_17234	M08_Log_17234	0.989119726	0.951352715	0.897102668	0.920741737	0.853516496	0.969868695
try_0	KNN	Log_17236	KNNLog_17236	M09_Log_17236	0.988339526	0.943613772	0.900350694	0.918180392	0.849926428	0.965458936
try_1	KNN	Log_17236	KNNLog_17236	M09_Log_17236	0.988339526	0.943613772	0.900350694	0.918180392	0.849926428	0.965458936
try_2	KNN	Log_17236	KNNLog_17236	M09_Log_17236	0.988339526	0.943613772	0.900350694	0.918180392	0.849926428	0.965458936
try_3	KNN	Log_17236	KNNLog_17236	M09_Log_17236	0.988339526	0.943613772	0.900350694	0.918180392	0.849926428	0.965458936
try_4	KNN	Log_17236	KNNLog_17236	M09_Log_17236	0.988339526	0.943613772	0.900350694	0.918180392	0.849926428	0.965458936
try_0	KNN	Log_7235	KNNLog_7235	M10_Log_7235	0.989015398	0.944168361	0.897630571	0.917926389	0.849870005	0.966071687
